HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 31/10/2022 18:52:54
Notes: 

[Location Information]

[Driver Information]

[Vehicle Information]

[Channel Information]
0,12,14,2321,11,2510,16,2513,2519,2526,2517,20,68,6001,2114,17,2172,6200,2610,2630,2178,2336,2301,2320,2311,2304,2360,7,6,13,2641,2126,51,5,2136,70
Offset,Engine RPM (SAE),Timing Advance (SAE),Cylinder Airmass,Intake Manifold Absolute Pressure (SAE),Base Advance,Mass Airflow (SAE),IAT Advance,PE/COT Advance,Cam Spark Advance,Torque Mgt Advance,O2 Voltage B1S1 (SAE),Equivalence Ratio Commanded (SAE),Air-Fuel Ratio Commanded,Accelerator Pedal Position,Throttle Position (SAE),Intake Cam Angle,Injector Pulse Width Avg. Bank 1,Knock Learn Factor,Knock Retard,Exhaust Cam Angle,Boost Pressure,Mass Airflow Sensor,Dynamic Airflow,Volumetric Efficiency Airflow,Turbo Wastegate DC,Desired Boost,Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Vehicle Speed (SAE),Burst Knock Retard,Manifold Air Temp,Barometric Pressure (SAE),Engine Coolant Temp (SAE),Engine Oil Temp,Ambient Air Temp (SAE)
s,rpm,°,g,kPa,°,g/s,°,°,°,°,V,λ,,%,%,°,ms,,°,°,kPa,Hz,g/s,g/s,%,kPa,%,%,km/h,°,°C,kPa,°C,°C,°C

[Channel Data]
189.170,2221.03,21.02,0.41422,113.8823529412,21.2725,30.0870588235,0,0,0,0,0.7925976563,1,14.1000976563,99.6078431373,58.8235294118,25.0980392157,2.7945551249,0,0,0,115.91,2912,29.0234375,26.4330729167,24.1321713871,154.9696666667,0,1.3744212963,46,0.375390625,31.6,100,76,73,12
189.199,2242.5,19.5,0.414125,113.8823529412,20.3046875,34.04,0,0,0,0,0.7646367939,1,14.1000976563,99.6078431373,63.8745098039,23.4666666667,2.6770636137,0,0,0,116.5084,2897.92,29.8359375,29.0234375,46.6666666667,170.33,0,-1.5625,46,0.7265625,31.6,100,76,73,12
189.212,2242.74,18.74,0.416995,113.8823529412,20.1484375,33.7764705882,0,0,0,0,0.7424609375,1,14.1000976563,99.6078431373,69.8039215686,22.1411764706,2.5391387962,0,0,0.7757885763,116.9946,2886.48,30.49609375,30.0111328125,54.8678601876,185.56275,0,-1.5625,46,0.7265625,31.6,100,76,73,12
189.225,2243.52,16.27,0.4263225,114.2344937975,19.640625,34.3951020408,-0.0031887755,0,0,0.4385964912,0.7452734375,1,14.1000976563,99.6078431373,69.5843137255,20,2.5442471228,0,0,2.7450980392,117.78,2868,31.5625,32.0625,75.6862745098,217.2,0,-1.5625,46,0.7265625,31.6,100,76,73,12
189.237,2244.24,13.99,0.4349325,114.6570628251,19.171875,34.8212244898,-0.0070153061,0,0,2.1929824561,0.7565234375,1,14.1000976563,99.6078431373,70.5803921569,19.5921568627,2.5854142252,0,0,2.2676896846,117.8648,2874.24,31.7625,31.910546875,70.6393861893,214.8565,0,-1.5625,46,0.7265625,31.6,100,76,73,12
189.250,2245.5,10,0.45,115.1148459384,18.3515625,35.2828571429,-0.0111607143,0,0,4.0935672515,0.7687109375,1,14.1000976563,99.6078431373,71.4980392157,18.2666666667,2.6401033685,0,0,3.3740288568,118.1404,2894.52,32.4125,32.59015625,75.9822419534,220.0248,0,-1.6362028302,46,0.6509375,31.6,100,76,73,12
189.263,2245.4,10.3,0.4533875,115.6078431373,18.23125,35.78,-0.015625,0,0,7.0175438596,0.7874609375,1,14.1000976563,99.6078431373,73.3333333333,14.9019607843,2.7494816551,0,0,5.0092489826,118.84,2946,34.0625,33.21375,76.7517573067,223.3632,0,-1.8278301887,46,0.5615625,31.6,100,76,73,12
189.275,2245.16,11.02,0.4615175,116.3670588235,17.9425,36.4576,-0.01734375,0,0,6.8070175439,0.7879589844,1,14.1000976563,99.6078431373,73.262745098,15.7176470588,2.7452747979,0,0,6.5186829449,118.6704,2933.52,33.6625,34.4609375,77.4620791713,230.04,0,-2.0047169811,46,0.3828125,31.6,100,76,73,12
189.288,2244.9,11.8,0.470325,117.2643137255,17.6296875,37.2584,-0.019375,0,0,6.2596491228,0.7892539063,1,14.1000976563,99.6078431373,73.3333333333,14.3529411765,2.7819345533,0,0,9.4117647059,118.979,2953.3,34.30078125,34.41296875,78.8235294118,229.7832,0,-2.34375,46,0.3896875,31.6,100,76,73,12
189.300,2244.5,13,0.483875,118.0925490196,17.1484375,37.9976,-0.02125,0,0,5.7543859649,0.7904492188,1,14.1000976563,99.6078431373,73.3333333333,13.0352941176,2.8143874515,0,0,9.6120150188,119.3126,2970.82,34.87265625,34.9151785714,78.5565289946,225.8375510204,0,-2.34375,46,0.3056441327,31.6,100,76,73,12
