HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 31/10/2022 15:08:41
Notes: 

[Location Information]

[Driver Information]

[Vehicle Information]

[Channel Information]
0,12,14,2321,11,2510,16,2513,2519,2526,2517,20,68,6001,2114,17,2172,6200,2610,2630,2178,2336,2301,2320,2311,2304,2360,7,6,13,2641,2126,51,5,2136,70
Offset,Engine RPM (SAE),Timing Advance (SAE),Cylinder Airmass,Intake Manifold Absolute Pressure (SAE),Base Advance,Mass Airflow (SAE),IAT Advance,PE/COT Advance,Cam Spark Advance,Torque Mgt Advance,O2 Voltage B1S1 (SAE),Equivalence Ratio Commanded (SAE),Air-Fuel Ratio Commanded,Accelerator Pedal Position,Throttle Position (SAE),Intake Cam Angle,Injector Pulse Width Avg. Bank 1,Knock Learn Factor,Knock Retard,Exhaust Cam Angle,Boost Pressure,Mass Airflow Sensor,Dynamic Airflow,Volumetric Efficiency Airflow,Turbo Wastegate DC,Desired Boost,Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Vehicle Speed (SAE),Burst Knock Retard,Manifold Air Temp,Barometric Pressure (SAE),Engine Coolant Temp (SAE),Engine Oil Temp,Ambient Air Temp (SAE)
s,rpm,°,g,kPa,°,g/s,°,°,°,°,V,λ,,%,%,°,ms,,°,°,kPa,Hz,g/s,g/s,%,kPa,%,%,km/h,°,°C,kPa,°C,°C,°C

[Channel Data]
82.473,1789.75,15,0.446125,110.431372549,15.71875,27.99,-0.3515625,0,0,0,0.8325195313,1,14.1000976563,99.6078431373,64.3137254902,13.0334486736,2.959824514,0.0294799805,0,11.2,112.0764705882,2700.1176470588,26.1672794118,25.7571875,37.5215686275,176.7428,0,0.78125,36.26,0,36.1,100,83,89,16
82.496,1788.945,14.77,0.45245,111.0180392157,15.39171875,28.2484,-0.3834375,0,0,0,0.8292842371,1,14.1000976563,99.6078431373,64.4705882353,11.3725490196,2.9586225548,0.0294775391,0,12.9411764706,112.5,2725,26.6015625,26.2421875,71.7647058824,200.25,0,0.78125,37,0,36.1,100,83,89,16
82.510,1788.455,14.63,0.4563,111.5011764706,15.19265625,28.4612,-0.4096875,0,0,0,0.8251665901,1,14.1000976563,99.6078431373,65.0196078431,10.8021390374,2.9544156976,0.0294689941,0,12.9411764706,112.6745454545,2727,26.7507102273,26.32734375,71.7647058824,199.84,0,0.78125,37,0,36.1,100,83,89,16
82.522,1788,14.5,0.459875,112.1568627451,15.0078125,28.75,-0.4453125,0,0,0,0.8216371783,1,14.1000976563,99.6078431373,66.2745098039,10.1176470588,2.944800024,0.0294494629,0,13.9764705882,112.884,2729.4,26.9296875,26.53171875,71.0117647059,198.856,0.1875,0.78125,37,0,36.1,100,83,89,16
82.534,1790.2916666667,14.3981481481,0.4616574074,112.1568627451,14.9298321759,28.861,-0.45078125,0,0,0,0.8175195313,1,14.1000976563,99.6078431373,65.9607843137,9.4331550802,2.9472039424,0.0294543457,0,15.0117647059,113.0934545455,2731.8,27.1086647727,26.73609375,70.2588235294,197.872,0.375,0.78125,37,0,36.1,100,83,89,16
82.546,1792.7916666667,14.287037037,0.4636018519,112.1568627451,14.8447627315,29.1274,-0.46390625,0,0,0,0.8205807557,1,14.1000976563,99.6078431373,66.3975394079,8.2352941176,2.9577623291,0.0294494629,0,17.2549019608,113.46,2736,27.421875,27.09375,68.6274509804,196.15,0.78125,0.78125,37,0,36.1,100,83,89,16
82.560,1795.7083333333,14.1574074074,0.4658703704,112.1568627451,14.7455150463,29.4382,-0.47921875,0,0,0,0.82486647,1,14.1000976563,99.6078431373,66.8281430219,7.7792977656,3.0031303967,0.0294494629,0,17.2549019608,113.5797674419,2740.6511627907,27.4990915698,27.1546875,68.6274509804,195.663,0.78125,0.78125,37,0,36.1,100,83,89,16
82.571,1799.25,14,0.468625,112.1568627451,14.625,29.86,-0.5,0,0,0,0.828233817,1,14.1000976563,99.6078431373,67.1664744329,6.7761057912,3.0387767355,0.0294494629,0,17.6862745098,113.843255814,2750.8837209302,27.6689680233,27.28875,67.937254902,194.5916,0.78125,-0.421875,37,0,36.1,100,83,89,16
82.584,1802.2173913044,13.9239130435,0.4695570652,112.3260284506,14.5869565217,29.9854901961,-0.5038296569,0,0,0,0.8325195313,1,14.1000976563,99.6078431373,67.8431372549,4.3137254902,3.1100694131,0.0294494629,0,18.1960784314,114.49,2776,28.0859375,27.4471875,67.1215686275,193.3254,0.78125,-1.84375,37,0,36.1,100,83,89,16
