HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 01/11/2022 12:21:13 pm
Notes: 

[Location Information]

[Driver Information]

[Vehicle Information]

[Channel Information]
0,12,14,2321,11,2510,16,2513,2519,2526,2517,20,68,6001,2114,17,2172,6200,2610,2630,2178,2336,2301,2320,2311,2304,2360,7,6,13,2641,2126,51,5,2136,70
Offset,Engine RPM (SAE),Timing Advance (SAE),Cylinder Airmass,Intake Manifold Absolute Pressure (SAE),Base Advance,Mass Airflow (SAE),IAT Advance,PE/COT Advance,Cam Spark Advance,Torque Mgt Advance,O2 Voltage B1S1 (SAE),Equivalence Ratio Commanded (SAE),Air-Fuel Ratio Commanded,Accelerator Pedal Position,Throttle Position (SAE),Intake Cam Angle,Injector Pulse Width Avg. Bank 1,Knock Learn Factor,Knock Retard,Exhaust Cam Angle,Boost Pressure,Mass Airflow Sensor,Dynamic Airflow,Volumetric Efficiency Airflow,Turbo Wastegate DC,Desired Boost,Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Vehicle Speed (SAE),Burst Knock Retard,Manifold Air Temp,Barometric Pressure (SAE),Engine Coolant Temp (SAE),Engine Oil Temp,Ambient Air Temp (SAE)
s,rpm,°,g,kPa,°,g/s,°,°,°,°,V,AFR (14.7),,%,%,°,ms,,°,°,kPa,Hz,g/s,g/s,%,kPa,%,%,km/h,°,°C,kPa,°C,°C,°C

[Channel Data]
16.889,1729.17,13.38,0.43298,103.7019607843,16.28875,26.302,-2.734375,0,0,0,0.0825,14.7,14.1000976563,99.6078431373,68.6274509804,4.7058823529,2.7945551249,0,0,13.3102652826,108.33,2666,24.921875,24.21875,75.6862745098,208.55,-2.34375,0.3829656863,35.4901960784,0,48.725,100,89,93,29
16.913,1736.01,13.14,0.43544,104.5301960784,16.21,26.5036,-2.771875,0,0,0,0.094509375,14.7,14.1000976563,99.6078431373,68.6274509804,4,2.8098801046,0,0,14.5098039216,108.492,2667.8,24.9609375,24.2378982843,75.6862745098,208.4019607843,-2.34375,0.78125,36,0,48.725,100,89,93,29
16.925,1740,13,0.436875,105.2549019608,16.1640625,26.68,-2.8046875,0,0,0,0.1005140625,14.7,14.1000976563,99.6078431373,68.6274509804,3.1529411765,2.8206977373,0,0,15.150060024,108.6864,2669.96,25.0078125,24.2838541667,75.1260504202,208.0466666667,-2.34375,0.78125,36,0,48.8716836735,100,89,93,29
16.938,1740.9705882353,12.8921568627,0.4365784314,105.3957583033,16.1505821078,26.772244898,-2.8365752551,0,0,0,0.1075195313,14.7,14.1000976563,99.6078431373,68.6274509804,1.1764705882,2.8396285946,0,0,15.9823929572,109.14,2675,25.1171875,24.3336397059,74.3977591036,207.6617647059,-2.34375,0.78125,36,0,49.062372449,100,89,93,29
16.951,1742.1176470588,12.7647058824,0.4362279412,105.8535414166,16.1346507353,27.0720408163,-2.9402104592,0,0,0,0.1411148438,14.7,14.1000976563,99.6078431373,68.6274509804,1.3176470588,2.8291114517,0,0,17.6470588235,109.1076,2674.64,25.109375,24.4140625,72.9411764706,207.04,-2.34375,0.78125,36,0,49.44375,100,89,93,29
16.963,1743.1764705882,12.6470588235,0.4359044118,106.2761104442,16.1199448529,27.3487755102,-3.0358737245,0,0,0,0.1747101563,14.7,14.1000976563,99.6078431373,68.6274509804,1.1764705882,2.8038703086,0,0,17.5830332133,109.3481632653,2684.5918367347,25.1729910714,24.4459502551,72.9971988796,206.7485714286,-2.34375,0.78125,36,0,49.4290816327,100,89,93,29
16.976,1744.5,12.5,0.4355,106.9803921569,16.1015625,27.81,-3.1953125,0,0,0,0.2111050781,14.7,14.1000976563,99.6078431373,68.6274509804,1.1764705882,2.7344571652,0,0,18.3058823529,109.6187755102,2697.0612244898,25.2455357143,24.5495854592,72.0941176471,205.8014285714,-2.15625,0.59375,36,0,49.44375,100,89,93,29
16.988,1749.5,12.6020408163,0.4350918367,107.1463046757,16.1749043367,27.9196153846,-3.1885516827,0,0,0,0.2475,14.7,14.1000976563,99.6078431373,68.6274509804,1.1764705882,2.7512845939,0,0,18.9647058824,110.16,2722,25.390625,24.8046875,71.2470588235,203.47,-1.96875,0.40625,36,0,49.44375,100,89,93,29
17.001,1756,12.7346938776,0.4345612245,107.5776772247,16.2702487245,28.2046153846,-3.1709735577,0,0,0,0.2586111111,14.7,14.1000976563,99.6078431373,68.6274509804,1.1764705882,2.7416804776,0,0,20.3921568627,110.1391836735,2721.0408163265,25.3850446429,24.7488839286,69.4117647059,203.98,-1.5625,0,36,0,49.44375,100,89,93,29
