HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 01/11/2022 12:48:07 pm
Notes: 

[Location Information]

[Driver Information]

[Vehicle Information]

[Channel Information]
0,12,14,2321,11,2510,16,2513,2519,2526,2517,20,68,6001,2114,17,2172,6200,2610,2630,2178,2336,2301,2320,2311,2304,2360,7,6,13,2641,2126,51,5,2136,70
Offset,Engine RPM (SAE),Timing Advance (SAE),Cylinder Airmass,Intake Manifold Absolute Pressure (SAE),Base Advance,Mass Airflow (SAE),IAT Advance,PE/COT Advance,Cam Spark Advance,Torque Mgt Advance,O2 Voltage B1S1 (SAE),Equivalence Ratio Commanded (SAE),Air-Fuel Ratio Commanded,Accelerator Pedal Position,Throttle Position (SAE),Intake Cam Angle,Injector Pulse Width Avg. Bank 1,Knock Learn Factor,Knock Retard,Exhaust Cam Angle,Boost Pressure,Mass Airflow Sensor,Dynamic Airflow,Volumetric Efficiency Airflow,Turbo Wastegate DC,Desired Boost,Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Vehicle Speed (SAE),Burst Knock Retard,Manifold Air Temp,Barometric Pressure (SAE),Engine Coolant Temp (SAE),Engine Oil Temp,Ambient Air Temp (SAE)
s,rpm,°,g,kPa,°,g/s,°,°,°,°,V,AFR (14.7),,%,%,°,ms,,°,°,kPa,Hz,g/s,g/s,%,kPa,%,%,km/h,°,°C,kPa,°C,°C,°C

[Channel Data]
37.825,1706.25,9.5,0.46925,112.1568627451,14.28125,32.316,-4.19328125,0,-0.099375,0,0.0561,13.6242011719,13.105066636,99.6078431373,66.6666666667,1.1764705882,3.1913784174,0,0,29.8039215686,115.1652631579,2824.6842105263,26.0361842105,25.921875,71.7647058824,208.43,-0.78125,0,35,0,52.6,100,89,73,25
37.852,1710.05,9.42,0.47097,112.1568627451,14.2175,32.91,-4.2734375,0,-0.0703125,0,0.0375,13.5084960938,12.9609375,99.6078431373,66.6666666667,1.1764705882,3.2603143123,0,0,29.8039215686,115.9089473684,2841.2631578947,26.4802631579,26.4306066176,71.9167667067,209.1394117647,-0.78125,0,35,0,52.6484693878,100,89,73,25
37.867,1717.175,9.27,0.474195,112.6850740296,14.09796875,33.2497959184,-4.3236607143,0,-0.0657894737,0,0.0384649123,13.5112664474,12.9616250797,99.6078431373,66.6666666667,1.1764705882,3.2685931129,0,0,29.8039215686,116.57,2856,26.875,26.8828125,72.1568627451,209.77,-0.78125,0,35,0,52.725,100,89,73,25
37.881,1730,9,0.48,113.1780712285,13.8828125,33.5669387755,-4.3705357143,0,-0.0600328947,0,0.0396929825,13.514792352,12.9648337851,99.6078431373,66.6666666667,1.2173202614,3.3072275155,0,0,29.8039215686,116.7647916667,2858.9166666667,26.97265625,26.9824617347,72.1488595438,209.8567346939,-0.78125,0,35,0,52.7224489796,100,89,73,25
37.894,1730,9,0.48,113.8823529412,13.8828125,34.02,-4.4375,0,-0.0546875,0,0.0408333333,13.5180664063,12.9678132972,99.6078431373,66.6666666667,1.3235294118,3.3955347216,0,0,29.8039215686,117.27125,2866.5,27.2265625,27.2415497449,72.1568627451,210.082244898,-0.78125,0,35,0,52.725,100,89,73,25
37.905,1731.1862745098,8.8921568627,0.4824534314,114.1584313725,13.798560049,34.0968,-4.439375,0,-0.046875,0,0.0425,13.5228515625,12.9721679688,99.6078431373,66.6666666667,1.568627451,3.3734579201,0,0,29.8039215686,118.44,2884,27.8125,27.859375,72.1568627451,210.62,-0.78125,0,35,0,52.725,100,89,73,25
37.918,1732.5882352941,8.7647058824,0.4853529412,115.0556862745,13.6989889706,34.3464,-4.44546875,0,-0.0477834302,0,0.0430813953,13.5261900436,12.9756146599,99.6078431373,66.6666666667,1.5196078431,3.4028996676,0,0,29.8039215686,118.20625,2880.5,27.6953125,27.7198660714,72.1568627451,210.4985714286,-0.78125,0,35,0,52.725,100,89,73,25
37.931,1733.9901960784,8.637254902,0.488252451,115.9529411765,13.5994178922,34.596,-4.4515625,0,-0.0501453488,0,0.0445930233,13.5348700945,12.984576057,99.6078431373,66.6666666667,1.568627451,3.4220485273,0,0,29.8039215686,118.6789130435,2887.347826087,27.9254415761,27.9485294118,72.1568627451,210.6588235294,-0.78125,0,35,0,52.725,100,89,73,25
37.943,1735.5,8.5,0.491375,117.3333333333,13.4921875,34.98,-4.4609375,0,-0.0546875,0,0.0475,13.5515625,12.9928481158,99.6078431373,66.6666666667,1.568627451,3.4397243978,0,0,29.8039215686,119.0884782609,2893.0869565217,28.1190557065,28.1268382353,72.1568627451,210.7364705882,-0.78125,0,35.22,0,52.725,100,89,73,25
