TIME;MAP;RPM;Ignition Angle;Knock Level;CAM1 angle target;CAM1 angle;CAM2 angle target;CAM2 angle;IAT;Air flow;Lambda;Lambda target;TPS;
0.00;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.36;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.40;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.44;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.48;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.52;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;27;0;0.516;0.970;0;
0.56;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;27;0;0.516;0.970;0;
0.60;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.64;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.68;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.72;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.76;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.80;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.84;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.88;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.92;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
0.96;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.00;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.04;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.08;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.12;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.16;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.20;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.24;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.28;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.32;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.36;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.40;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.44;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.48;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.52;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.56;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.60;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.64;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.68;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.72;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.76;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.80;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.84;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.88;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.92;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
1.96;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
2.00;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
2.04;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.516;0.970;0;
2.08;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.547;0.970;0;
2.12;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.570;0.970;0;
2.16;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.602;0.970;0;
2.20;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.633;0.970;0;
2.24;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.656;0.970;0;
2.28;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.688;0.970;0;
2.32;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.719;0.970;0;
2.36;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.742;0.970;0;
2.40;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.773;0.970;0;
2.44;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.805;0.970;0;
2.48;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.836;0.970;0;
2.52;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.859;0.970;0;
2.56;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.891;0.970;0;
2.60;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.922;0.970;0;
2.64;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.945;0.970;0;
2.68;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;0.977;0.970;0;
2.72;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.008;0.970;0;
2.76;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.031;0.970;0;
2.80;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
2.84;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
2.88;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
2.92;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
2.96;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.00;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.04;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.08;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.12;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.16;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.20;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.24;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.28;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.32;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.36;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.40;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.44;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.48;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.52;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.56;99;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
3.60;100;0;0.000;0.000;-13.000;460.000;-5.000;556.000;26;0;1.063;0.970;0;
