HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 29.05.2022. 18:39:45
Notes: 

[Location Information]

[Driver Information]

[Vehicle Information]

[Channel Information]
0,12,11,16,2510,14,2321,68,2312,2519,2513,2114,2610,2630,6001,6200,2178,2336,2354,2335,2301,2172,13,6,7,2360,2641,2126,2126,2128,15,51,5,2136,70,31001,31000
Offset,Engine RPM (SAE),Intake Manifold Absolute Pressure (SAE),Mass Airflow (SAE),Base Advance,Timing Advance (SAE),Cylinder Airmass,Equivalence Ratio Commanded (SAE),Volumetric Efficiency (mg•K/kPa),PE/COT Advance,IAT Advance,Accelerator Pedal Position,Knock Learn Factor,Knock Retard,Air-Fuel Ratio Commanded,Injector Pulse Width Avg. Bank 1,Exhaust Cam Angle,Boost Pressure,Turbo Bypass DC,Manifold Absolute Pressure - Hi-Res,Mass Airflow Sensor,Intake Cam Angle,Vehicle Speed (SAE),Short Term Fuel Trim Bank 1 (SAE),Long Term Fuel Trim Bank 1 (SAE),Desired Boost,Burst Knock Retard,Manifold Air Temp,Manifold Air Temp,Intake Air Temp 2,Intake Air Temp (SAE),Barometric Pressure (SAE),Engine Coolant Temp (SAE),Engine Oil Temp,Ambient Air Temp (SAE),AEM - AFR,AEM - EQ Ratio
s,rpm,kPa,g/s,°,°,g,λ,,°,°,%,,°,,ms,°,kPa,%,kPa,Hz,°,km/h,%,%,kPa,°,°C,°C,°C,°C,kPa,°C,°C,°C,,λ

[Channel Data]
868.855,2719.825,24.5882352941,4.97,44.390625,43.5,0.05625,1,681.6248046875,0,0,8,0,0,14.6850585938,1.0967877641,15.2,101.08,0,24.75,2605,21,62,13.28125,-0.78125,23.1716,0,11,16.975,19,13,99,105,111,12,12.061,12.061
868.881,2716,23.5294117647,4.92,44.4296875,43,0.0555,1,683.712097168,0,0,8,0,0,14.6850585938,1.0931818865,15.2,101.077254902,0,24.7071078431,2602.9411764706,21,62,13.28125,-0.78125,23.26,0,11,16.975,19,13,99,105,111,12,12.1,12.1
868.915,2714.5849056604,23.8623751387,4.9454901961,44.4327512255,43,0.0555980392,1,684.3485614129,0,0,8,0,0,14.6850585938,1.0817632741,15.2,101.06,0,24.4375,2590,20.8,62,13.28125,-0.78125,24.04,0,11,16.975,19,13,99,105,111,12,12.1207920792,12.121
868.945,2711,24.7058823529,5.05,44.4453125,43,0.056,1,685.9609375,0,0,9,0,0,14.6850585938,1.1418612338,15.2,101.004,0,24.6875,2608.4,20.8,62,13.28125,-0.78125,24.6448,0,11,16.975,19,13,99,105,111,12,12.1504950495,12.151
868.975,2707.5,24.7058823529,5.1526,44.45421875,43,0.05809,1,690.686340332,0,0,9.78,0,0,14.6850585938,1.1544818053,15.2,100.92,0,25.0625,2636,20.8,62,13.28125,-0.78125,26.2,0,11,16.975,19,13,99,105,111,12,12.2,12.2
869.006,2707.29,24.8470588235,5.32,44.46875,43,0.0615,1,692.0418481445,0,0,12,0,0,14.6850585938,1.2470326632,15.2,100.84,0,26.03125,2706,20.8,62,13.28125,-0.78125,29.39,0,11,16.975,19,13,99,105,111,12,12.2448979592,12.2484848485
869.038,2705.75,25.8823529412,5.92,44.4765625,39.5,0.0655,1,701.9822387695,0,0,26.6545454545,0,0,14.6850585938,1.2994650668,15.2,100.7875,0,26.4765625,2739.5,20.8,62,13.28125,-0.78125,30.7984,0,11,16.988125,19,13,99,105,111,12,12.3755102041,12.3777777778
869.067,2706.94,26.6823529412,6.2036734694,44.4717793367,39.806122449,0.0681020408,1,707.9097436523,0,0,43,0,0,14.6850585938,1.3822530725,15.2,100.63,0,27.8125,2840,20.8,62,13.28125,-0.78125,39.45,0,11,17.06875,19,13,99,105,111,12,12.493877551,12.4949494949
869.093,2709.25,28.2352941176,7.31,44.453125,41,0.07825,1,719.4160766602,0,0,98,0,0,14.6850585938,1.5737416695,15.0509803922,100.4474509804,0,29.3725490196,2948.7843137255,20.8705882353,62,13.28125,-0.6893382353,43.7412,0,11,17.06875,19,13,99,105,111,12,12.6,12.6
869.119,2712.3520408163,30.9723889556,7.89825,44.2271484375,38.80625,0.081825,1,732.8112120336,0,0,98.0821917808,0,0,14.6850585938,1.7728898104,14.8,100.14,0,32,3132,21.4,62,13.28125,0,57.33,0,11,17.06875,19,13,99,105,111,12,12.6257425743,12.6257425743
869.149,2717.25,35.2941176471,9.25575,43.7056640625,33.74375,0.090075,1,753.9614257813,0,0,98.4931506849,0,0,14.6850585938,2.0621673029,14.406557377,99.6560655738,0,35.4180327869,3384.1967213115,21.6693877551,62,13.28125,0.1753826531,68.202,0,11,17.06875,19,13,99,105,111,12,12.6554455446,12.6554455446
869.186,2747.25,51.7647058824,10.93,43.0625,27.5,0.10025,1,790.7290649414,0,0,99,0,0,14.6850585938,2.4189428769,13.8,98.91,0,40.6875,3773,22.6,62,13.28125,0.78125,90.55,0,11,17.06875,19,13,99,105,111,12,12.7,12.7
869.206,2751.57,55.7176470588,22.25,33.390625,29,0.1995,1,796.088203125,0,0,99,0,0,14.6850585938,5.1534000421,12,93.79,0,73.34375,5333,22.676,62,13.28125,-0.109375,137.21,0.15625,11,17.06875,19,13,98.7647058824,105,111,12,12.892,12.892
869.237,2783.25,84.7058823529,36.81,24.1015625,14,0.264125,1,835.3885498047,0,0,99,0,0,14.6850585938,5.5861053517,11.56,93.9308,0,77.30375,5376.78,22.8,62,13.28125,-1.5625,142.358,0.14875,11,17.06875,19,13,98,105,111,12,13.388,13.388
869.269,2785.435,88.2823529412,36.3498,23.56734375,16.08,0.2774175,1,875.3013757324,0,0,99,0,0,14.6850585938,6.3553592356,10,94.43,0,91.34375,5532,13.6,62,13.28125,-2.34375,180.11,0.09375,11,17.06875,19,13,99,105,111,12,14.3,14.3
869.300,2789,94.1176470588,35.04,22.046875,22,0.31525,1,940.4223022461,0,0,99,0,0,14.6850585938,5.6942816791,10.864,95.1644,0,93.32375,5509.92,12.631372549,62,9.0992647059,-2.34375,184.9094,0.058125,11,16.7125,19,13,99,105,111,12,14.306,14.306
869.326,2734.75,94.1176470588,35.4,21.753125,21.6,0.3198,1,965.125793457,0,0.0139204545,99,0,0,14.6850585938,5.6921782505,11.8,95.96,0,95.46875,5486,9.8,62,-3.125,-2.34375,192.74,0,11,16.13125,19,13,99,105,111,12,14.332,14.332
869.356,2730.25,94.5411764706,35.94,21.3125,21,0.326625,1,966.4677807617,0,0.0546875,99,0,0,14.6850585938,5.6792571892,14,97.54,0,98,5524,9.5795918367,62.3673469388,-3.125,-2.34375,193.78,0,11,16.13125,19,13,99,105,111,12,14.362,14.362
869.387,2697.25,97.6470588235,36.35,20.9296875,21,0.336,1,976.3090209961,0,0.1796875,99,0,0,14.6850585938,5.7063012711,14.0470588235,98.0717647059,0,98.2647058824,5538.5882352941,9.2,63,-3.125,-2.34375,194.0152,0,11,16.13125,19,13,99,105,111,12,14.4,14.4
869.419,2706.845,98.0941176471,36.6724,20.81796875,20.87,0.3389575,1,978.9149572754,0,0.1946022727,99,0,0,14.6850585938,5.7543796388,14.2,99.8,0,99.125,5586,9,63,-3.125,-3.125,195.74,0,11,16.13125,19,13,99,105,111,12,14.8702970297,14.8702970297
869.445,2722.5,98.8235294118,37.59,20.5,20.5,0.347375,1,983.1667480469,0,0.296875,99,0,0,14.6850585938,5.9496980078,14.2775510204,100.4320408163,0,100.3125,5601.1224489796,9.031372549,63,-2.512254902,-3.125,196.272,0,11,16.13125,19,13,99,105,111,12,15.3594059406,15.3594059406
869.475,2758.25,101.1764705882,38.1942,20.33375,20.5,0.350605,1,988.5492553711,0,0.3203125,99,0,0,14.6850585938,5.9911655999,14.4,101.43,0,102.1875,5625,9.2,63,0.78125,-3.125,197.64,0,11,16.13125,19,13,98,105,111,12,16.3,16.3
869.506,2757.1785714286,101.4645858343,39.18,20.0625,20.5,0.355875,1,989.2994721082,0,0.4375,99,0,0,14.6850585938,6.2952612759,14.6,103.87,0,103.03125,5738,9.1265306122,63,0.78125,-3.125,198.79,0,11,16.13125,19,13,98.25,105,111,12,16.2555555556,16.2555555556
869.537,2749.5,103.5294117647,40.56,19.53125,20,0.3685,1,994.6760253906,0,0.4609375,99,0,0,14.6850585938,6.3655758887,14.6,104.4172,0,103.94625,5758.16,9,63,0.78125,-3.125,198.808,0,11,16.0375,19,13,99,105,111,12,16.1303030303,16.1303030303
869.569,2745.6764705882,104.4521337947,40.8772,19.3321875,19.74,0.3713925,1,997.5903463925,0,0.463125,99,0,0,14.6850585938,6.4905796448,14.6,106.15,0,106.84375,5822,9.2,63,0.78125,-3.125,198.94,0,11,15.35,19,13,98,105,111,12,15.9,15.9
869.600,2739.75,105.8823529412,41.78,18.765625,19,0.379625,1,1002.1075439453,0,0.4765625,99,0,0,14.6850585938,6.7159469936,14.5019607843,107.6598039216,0,107.5177696078,5855.8235294118,9.148,63,0.984375,-3.125,199.4226,0,11,15.35,19,13,98,105,111,12,15.9,15.9
869.626,2769.5,109.4117647059,42.364,18.69375,19,0.385075,1,1008.3901367188,0,0.4809375,99,0,0,14.6850585938,6.7536555173,14.4,109.23,0,108.21875,5891,9,63,1.5625,-3.125,200.21,0,11,15.35,19,13,98,105,111,12,15.9,15.9
869.656,2771.42,109.5529411765,43.24,18.5859375,19,0.39325,1,1009.3821362305,0,0.4921875,99,0,0,14.6850585938,6.9563388323,14.4,112.07,0,111.40625,5925,9,63.3725490196,1.5625,-2.8339460784,200.63,0,11,15.35,19,13,98,105,111,12,15.9,15.9
