start,end,size_bytes,memory_band,known_entries,mod2_diff_bytes,classification
0x4017,0x4153,317,low_code_mixed,adc_sample_group_a;adc_sample_group_b,0,reachable_or_evidence_seeded_executable
0x4155,0x4169,21,low_code_mixed,adc_filter_helper_4155,0,reachable_or_evidence_seeded_executable
0x416B,0x41B0,70,low_code_mixed,build_load_axis_2034,0,reachable_or_evidence_seeded_executable
0x41B2,0x41D4,35,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x41D6,0x4212,61,low_code_mixed,build_transient_axis_2042,0,reachable_or_evidence_seeded_executable
0x4214,0x4290,125,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4292,0x42CE,61,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x42D0,0x4318,73,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x431A,0x4368,79,low_code_mixed,preprocess_cts_path;convert_cts_axis,0,reachable_or_evidence_seeded_executable
0x436A,0x43B8,79,low_code_mixed,preprocess_iat_path;convert_iat_axis,0,reachable_or_evidence_seeded_executable
0x43BA,0x43DA,33,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x43DC,0x43F1,22,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x43F3,0x4403,17,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4405,0x440B,7,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x440D,0x441F,19,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4421,0x4536,278,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4538,0x4554,29,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4556,0x4562,13,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4564,0x45AE,75,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x45B0,0x45B6,7,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x45B8,0x45CA,19,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x45CC,0x45D2,7,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x45D4,0x45F1,30,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x45F3,0x4608,22,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x460A,0x4640,55,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4642,0x4696,85,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4698,0x46BC,37,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x46BE,0x4724,103,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4726,0x4770,75,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4772,0x48D6,357,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x48D8,0x48EC,21,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x48EE,0x4941,84,low_code_mixed,lookup_base_spark,0,reachable_or_evidence_seeded_executable
0x4943,0x497E,60,low_code_mixed,apply_spark_temperature_correction,0,reachable_or_evidence_seeded_executable
0x4980,0x49A1,34,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x49A3,0x49B8,22,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x49BA,0x49C8,15,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x49CA,0x4AA0,215,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4AA7,0x4D83,733,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4E0B,0x4EEF,229,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x4F10,0x559F,1680,low_code_mixed,hardware_io_service_init;hardware_io_service_state_machine;hardware_io_scan_group_506a;hardware_io_scan_group_50f4;hardware_io_scan_group_515c;hardware_io_scan_group_51cc;hardware_io_scan_group_51fb;hardware_io_scan_group_5224;hardware_io_scan_group_5243;hardware_io_scan_group_5290;hardware_io_scan_group_52dd;hardware_io_scan_group_5320;hardware_io_scan_group_5361;hardware_io_scan_group_53a9;hardware_io_scan_group_5419;hardware_io_scan_group_545f;hardware_io_service_546b;hardware_io_scan_group_5497;hardware_io_flag_helper_54a3;hardware_io_countdown_helper_54b6;hardware_io_bit_clear_helper;hardware_io_bit_set_helper;hardware_io_bit_update_helper,0,reachable_or_evidence_seeded_executable
0x55F8,0x5875,638,low_code_mixed,mode_control_init_5652;runtime_input_processing_5828,0,reachable_or_evidence_seeded_executable
0x5877,0x589A,36,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x589C,0x58B5,26,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x58B7,0x58F0,58,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x58F2,0x5980,143,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5982,0x59A6,37,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x59A8,0x59C8,33,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x59CA,0x59F2,41,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x59F4,0x5A27,52,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5A29,0x5A77,79,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5A79,0x5AD4,92,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5AD6,0x5B19,68,low_code_mixed,incremental_rom_checksum,0,reachable_or_evidence_seeded_executable
0x5B1B,0x5BEA,208,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5BEC,0x5CF4,265,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5CF6,0x5D06,17,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5D08,0x5D79,114,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5D7B,0x5D8B,17,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5D8D,0x5E80,244,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5E82,0x5F25,164,low_code_mixed,adc_conversion_helper_5e82,0,reachable_or_evidence_seeded_executable
0x5F27,0x5F6F,73,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5F71,0x5FDA,106,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x5FDC,0x602D,82,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x602F,0x6059,43,low_code_mixed,runtime_stage_602f,0,reachable_or_evidence_seeded_executable
0x605B,0x60AF,85,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x60B1,0x6105,85,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x6107,0x6131,43,low_code_mixed,runtime_stage_6107,0,reachable_or_evidence_seeded_executable
0x6133,0x6159,39,low_code_mixed,runtime_stage_6133,0,reachable_or_evidence_seeded_executable
0x615B,0x6185,43,low_code_mixed,runtime_stage_615b,0,reachable_or_evidence_seeded_executable
0x6187,0x6217,145,low_code_mixed,runtime_stage_6187,0,reachable_or_evidence_seeded_executable
0x6219,0x6250,56,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x6252,0x62DA,137,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x62DC,0x6310,53,low_code_mixed,runtime_stage_62dc,0,reachable_or_evidence_seeded_executable
0x6312,0x6342,49,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x6344,0x636A,39,low_code_mixed,load_aircharge_model,0,reachable_or_evidence_seeded_executable
0x636C,0x6403,152,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x6405,0x644F,75,low_code_mixed,interrupt_handler_6405,0,reachable_or_evidence_seeded_executable
0x6451,0x654A,250,low_code_mixed,runtime_state_650d,0,reachable_or_evidence_seeded_executable
0x654C,0x65D6,139,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x65D8,0x663B,100,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x663D,0x6652,22,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x6654,0x665C,9,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x665E,0x6666,9,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x667C,0x66F8,125,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x66FA,0x672C,51,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x672E,0x6793,102,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x6795,0x67A1,13,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x67A3,0x67B1,15,low_code_mixed,state_or_comms_init_67a3,0,reachable_or_evidence_seeded_executable
0x6836,0x6848,19,low_code_mixed,mode_handler_6836,0,reachable_or_evidence_seeded_executable
0x68F3,0x691F,45,low_code_mixed,mode_handler_68f3,0,reachable_or_evidence_seeded_executable
0x6943,0x6943,1,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x69B8,0x69FF,72,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x6A12,0x6A27,22,low_code_mixed,mode_handler_6a12,0,reachable_or_evidence_seeded_executable
0x6A2C,0x6A57,44,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x6A67,0x6A67,1,low_code_mixed,,0,reachable_or_evidence_seeded_executable
0x6AEB,0x6C64,378,low_code_mixed,mode_handler_6bbe,0,reachable_or_evidence_seeded_executable
0x6C6A,0x6EEC,643,low_code_mixed,mode_handler_6d43;high_load_final_fuel_stage,0,reachable_or_evidence_seeded_executable
