start,end,changed_bytes,stock_hex,mod2_hex,delta_summary,table_or_region,overlaps_executable_bytes,assessment
0x800C,0x800F,4,4A 65 B5 9A,47 BE B8 41,min -89; max +89; mean +0.00,checksum_words,false,calibration/checksum only
0x8088,0x808D,6,C2 C2 C2 C2 C2 C2,C6 C6 C6 C6 C6 C6,min +4; max +4; mean +4.00,fuel_iat_rpm_corr_A,false,calibration/checksum only
0x8091,0x8096,6,C4 C4 C4 C4 C4 C4,C8 C8 C8 C8 C8 C8,min +4; max +4; mean +4.00,fuel_iat_rpm_corr_A,false,calibration/checksum only
0x80A9,0x80D5,45,D0 CB C4 C2 C2 CF C2 C2 C2 CA C6 C0 BD BC C0 BC BC BC C9 C4 BD BA B9 B9 B9 B9 B9 DB D6 CF CB C8 C8 C8 C8 C8 DC D7 CF CA C8 C8 C8 C8 C8,D6 D1 CA C8 C8 D5 C8 C8 C8 D0 CC C6 C3 C2 C6 C2 C2 C2 CF CA C3 C0 BF BF BF BF BF E1 DC D5 D1 CE CE CE CE CE E2 DD D5 D0 CE CE CE CE CE,min +6; max +6; mean +6.00,fuel_iat_rpm_corr_A,false,calibration/checksum only
0x80F1,0x8102,18,C7 BE B3 B3 AD A3 A3 A3 A3 B6 AD A2 A9 A0 92 92 92 92,CC C3 B8 B8 B2 A8 A8 A8 A8 BB B2 A7 AE A5 97 97 97 97,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_A,false,calibration/checksum only
0x8169,0x816E,6,CE C3 BE BE BE BE,D3 C8 C3 C3 C3 C3,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x8172,0x8177,6,D7 C7 BF BF BF BF,DC CC C4 C4 C4 C4,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x817B,0x8180,6,E0 CF C7 C7 C7 C7,E5 D4 CC CC CC CC,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x8184,0x8189,6,E9 D9 CD CD CD CD,EE DE D2 D2 D2 D2,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x818D,0x8192,6,F1 E2 DC DC DC DC,F6 E7 E1 E1 E1 E1,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x8196,0x819B,6,F9 ED E0 E0 E0 E0,FE F2 E5 E5 E5 E5,min +5; max +5; mean +5.00,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x819F,0x81A4,6,FF EE DC DC DC DC,04 F3 E1 E1 E1 E1,min -251; max +5; mean -37.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x81A8,0x81AD,6,09 FD F5 F5 F5 F5,0E 02 FA FA FA FA,min -251; max +5; mean -37.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x81B1,0x81B6,6,0B FB FA FA FA FA,10 00 FF FF FF FF,min -251; max +5; mean -37.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x81BA,0x81BF,6,FE EF EE EE EE EE,03 F4 F3 F3 F3 F3,min -251; max +5; mean -37.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x81C3,0x81C8,6,F0 DE DC DC DC DC,02 F0 EE EE EE EE,min -238; max +18; mean -24.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x81CC,0x81D1,6,0E 00 FE FE FE FE,13 05 03 03 03 03,min -251; max +5; mean -165.67,fuel_iat_rpm_corr_B,false,calibration/checksum only
0x879E,0x87A1,4,07 EB 07 EF,00 FA FF FF,min -7; max +248; mean +68.00,rpm_limiter_set_clear,false,calibration/checksum only
0x89F5,0x89FA,6,4B 50 55 5A 5F 78,4D 52 5B 64 6F 7E,min +2; max +16; mean +7.00,per_event_retard_gain,false,calibration/checksum only
0x89FC,0x8A05,10,90 96 96 90 A5 AA A0 9B 96 82,96 9A 9E A2 A7 AC AA A3 98 8C,min +2; max +18; mean +7.00,per_event_retard_gain,false,calibration/checksum only
0x8A80,0x8A83,4,2C 2C 2E 19,32 30 32 1D,min +4; max +6; mean +4.50,spark_high_default,false,calibration/checksum only
0x8A87,0x8A8C,6,28 23 2C 2E 30 1C,2C 29 32 32 34 20,min +4; max +6; mean +4.67,spark_high_default,false,calibration/checksum only
0x8A90,0x8A95,6,25 1C 2E 34 31 1E,2B 2C 36 38 35 22,min +4; max +16; mean +7.00,spark_high_default,false,calibration/checksum only
0x8A99,0x8A9E,6,25 1A 39 38 32 24,2C 2E 3D 3C 36 28,min +4; max +20; mean +7.17,spark_high_default,false,calibration/checksum only
0x8AA2,0x8AA7,6,27 20 3E 3A 34 28,2F 32 42 3E 38 2C,min +4; max +18; mean +7.00,spark_high_default,false,calibration/checksum only
