address,end_address,name,kind,subtype,size_bytes,width_bits,signed,rows,cols,subsystem,confidence,range_kind,bounding_span_bytes,decoded_bytes,gap_bytes,block_count,code_blocks,coverage_percent,inbound_xrefs,callers,caller_routines,outbound_xrefs,outbound_call_sites,callees,description,evidence,aliases,generated
0x0094,0x0094,reset_fault_cause,ram,variable,1,8,,,,fault,working,data-object,1,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x0099,0x0099,runtime_fault_flags,ram,variable,1,8,,,,fault,working,data-object,1,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x009C,0x009C,scheduler_status_flags,ram,variable,1,8,,,,scheduler,working,data-object,1,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00A2,0x00A2,spark_mode_flags,ram,variable,1,8,,,,ignition,working,data-object,1,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00A4,0x00A4,limiter_mode_flags,ram,variable,1,8,,,,unknown,working,data-object,1,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00A9,0x00A9,operating_mode_flags,ram,variable,1,8,,,,unknown,working,data-object,1,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00B8,0x00B9,previous_capture_or_schedule_base,ram,u16be,2,16,,,,unknown,working,data-object,2,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00BA,0x00BB,engine_period_delta,ram,u16be,2,16,,,,speed-rpm,working,data-object,2,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00BC,0x00BD,fuel_output_duration,ram,u16be,2,16,,,,fuel,working,data-object,2,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00BE,0x00BE,fuel_event_phase,ram,variable,1,8,,,,fuel,working,data-object,1,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00BF,0x00BF,fuel_event_width_limit,ram,variable,1,8,,,,fuel,working,data-object,1,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00C1,0x00C2,base_fuel_pulse_accumulator,ram,u16be,2,16,,,,fuel,working,data-object,2,,,,,,0,,,,,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
