symbol,source_address,rows,columns,data_org,signed,unit,factor,offset,encoded_size,exact_target_hits,unique_target_address,exact_corsa_hits,unique_corsa_address,corsa_changed_fraction
KfFEQR_Pct_ClearFloodEnter,0x059330,1,1,eHiLo,0,%,0.003051757812,0,2,0,,0,,
KfFEQR_Pct_ClearFloodExit,0x059332,1,1,eHiLo,0,%,0.003051757812,0,2,0,,0,,
KtFEQR_eqr_Crank,0x059338,17,17,eHiLo,0,ratio,0.0009765625,0,578,0,,0,,
KtFEQR_eqr_CrankE100,0x05957E,17,9,eHiLo,0,ratio,0.0009765625,0,306,0,,0,,
KtFEQR_K_CrankEqRatioBlendFctr,0x0596EA,1,9,eHiLo,0,,0.000030517578,0,18,0,,1,0x0597C6,0.889
KeFEQR_Cf_CrankGreenEngEnrich,0x0596FC,1,1,eHiLo,0,,0.000122070312,0,2,0,,0,,
KeFEQR_t_GreenEngEnrichTime,0x0596FE,1,1,eHiLo,0,s,0.05,0,2,0,,0,,
KeFEQR_T_GreenEngCoolMax,0x059700,1,1,eHiLo,1,deg C,0.0078125,0,2,0,,0,,
KeFEQR_T_GreenEngCoolMin,0x059702,1,1,eHiLo,1,deg C,0.0078125,0,2,0,,0,,
KeFEQR_b_GreenEngModeEnbl,0x059704,1,1,eByte,0,,1,0,1,0,,0,,
KfFEQR_T_HotCoolantECT_Hi,0x059706,1,1,eHiLo,1,deg C,0.0078125,0,2,0,,0,,
KfFEQR_T_HotCoolantECT_Lo,0x059708,1,1,eHiLo,1,deg C,0.0078125,0,2,0,,0,,
KfFEQR_Pct_HotCoolantThrotHi,0x05970A,1,1,eHiLo,0,%,0.003051757812,0,2,0,,0,,
KfFEQR_Pct_HotCoolantThrotLo,0x05970C,1,1,eHiLo,0,%,0.003051757812,0,2,0,,0,,
KfFEQR_p_HotCoolantMAP_Hi,0x05970E,1,1,eHiLo,0,kPa,0.03125,0,2,0,,0,,
KfFEQR_p_HotCoolantMAP_Lo,0x059710,1,1,eHiLo,0,kPa,0.03125,0,2,0,,0,,
KfFEQR_v_HotCoolantVSS_Hi,0x059712,1,1,eHiLo,0,kph,0.0078125,0,2,0,,0,,
KfFEQR_v_HotCoolantVSS_Lo,0x059714,1,1,eHiLo,0,kph,0.0078125,0,2,0,,0,,
KfFEQR_T_HotCoolantOfst,0x059716,1,1,eHiLo,1,deg C,0.0078125,0,2,0,,0,,
KfFEQR_Cf_HotCoolantSclr,0x059718,1,1,eHiLo,0,ratio,0.000015258789,0,2,0,,0,,
KfFEQR_eqr_HotCoolantMax,0x05971A,1,1,eHiLo,0,ratio,0.0009765625,0,2,0,,0,,
KfFEQR_T_EngCoolPistonProtect,0x05971C,1,1,eHiLo,1,deg C,0.0078125,0,2,0,,0,,
KwFEQR_t_HotCoolant,0x05971E,1,1,eHiLo,0,s,0.05,0,2,0,,0,,
KwFEQR_t_PistonProtect,0x059720,1,1,eHiLo,0,s,0.05,0,2,0,,0,,
KtFEQR_eqr_PistonProtectIn,0x059724,1,17,eHiLo,0,ratio,0.0009765625,0,34,2,,2,,
KtFEQR_eqr_PistonProtectOut,0x059748,1,17,eHiLo,0,ratio,0.0009765625,0,34,2,,2,,
KtFEQR_eqr_PistonProtect,0x05976C,1,33,eHiLo,0,ratio,0.0009765625,0,66,200,,200,,
KeFEQR_m_APC_PistonProtectHyst,0x0597AE,1,1,eHiLo,0,mg,0.125,0,2,0,,0,,
KeFEQR_n_PistonProtectHigh,0x0597B0,1,1,eHiLo,0,rpm,0.125,0,2,0,,0,,
KeFEQR_n_PistonProtectLow,0x0597B2,1,1,eHiLo,0,rpm,0.125,0,2,0,,0,,
KtFEQR_m_APC_PistonProtectHigh,0x0597B6,1,9,eHiLo,0,mg,0.125,0,18,4,,3,,
KtFEQR_m_APC_PreIgnProtectHigh,0x0597CA,1,9,eHiLo,0,mg,0.125,0,18,1,0x05FB0A,1,0x0598A6,0.556
KeFEQR_m_APC_PreIgnProtectHyst,0x059804,1,1,eHiLo,0,mg,0.125,0,2,0,,0,,
KeFEQR_n_EngSpdPreIgnEnable,0x059806,1,1,eHiLo,0,rpm,0.125,0,2,0,,0,,
KeFEQR_n_EngSpdPreIgnHyst,0x059808,1,1,eHiLo,0,rpm,0.125,0,2,0,,0,,
KeFEQR_T_EngCoolPreIgnProtect,0x05980A,1,1,eHiLo,1,deg C,0.0078125,0,2,0,,0,,
KtFEQR_t_PreIgnProtectDlyAdj,0x059810,9,9,eHiLo,0,s,0.05,0,162,1,0x05FB50,1,0x0598EC,0.000
KeFEQR_t_PreIgnProtectDelayMax,0x0598B2,1,1,eHiLo,0,s,0.05,0,2,0,,0,,
KtFEQR_eqr_PreIgnProtect,0x0598B8,9,9,eHiLo,0,ratio,0.0009765625,0,162,0,,1,0x059994,0.500
KtFEQR_eqr_PreIgnProtectE80,0x05995E,9,9,eHiLo,0,ratio,0.0009765625,0,162,200,,200,,
KeFEQR_eqr_PreIgnRampOut,0x059A00,1,1,eHiLo,0,ratio,0.000030517578,0,2,0,,0,,
KeFEQR_eqr_PreIgnRampIn,0x059A02,1,1,eHiLo,0,ratio,0.000030517578,0,2,0,,0,,
KtFEQR_Cnt_BlndOpenToClosedLoop,0x059A04,5,17,eHiLo,0,count,1,0,170,200,,0,,
KtFEQR_afr_StoichAirFuelRatio,0x059AB0,1,17,eHiLo,0,ratio,0.00048828125,0,34,0,,0,,
KeFEQR_eqr_TorqueEnleanMin,0x059AD2,1,1,eHiLo,0,ratio,0.0009765625,0,2,0,,0,,
KfFEQR_eqr_MaxCL_Allowed,0x059AD4,1,1,eHiLo,0,ratio,0.0009765625,0,2,0,,0,,
KtFEQR_eqr_CoolLossProtect,0x059AD8,1,33,eHiLo,0,ratio,0.0009765625,0,66,1,0x05FCCC,1,0x059C28,0.000
KaFEQR_eqr_Misfire[x],0x059B1A,1,4,eHiLo,0,ratio,0.0009765625,0,8,1,0x05FD0E,1,0x059C6A,0.000
KeFEQR_eqr_ETC_PowerManagement,0x059B22,1,1,eHiLo,0,ratio,0.0009765625,0,2,0,,0,,
KaFEQR_K_MSFR_EQR_Arbitration[x][y],0x059B24,7,2,eHiLo,0,count,1,0,28,0,,0,,
KtFEQR_eqr_TorqueEnleanment,0x059B42,1,33,eHiLo,0,ratio,0.0009765625,0,66,200,,200,,
KeFEQR_K_MSFR_EQR_BlendFact,0x059B84,1,1,eHiLo,0,ratio,0.000030517578,0,2,0,,0,,
KaFEQR_b_Enlean_OBD_Compliant[x],0x059B88,1,9,eByte,0,,1,0,9,0,,1,0x059CD8,0.000
KeFEQR_afr_StoichAltFuel,0x059B92,1,1,eHiLo,0,ratio,0.00048828125,0,2,0,,0,,
KeFEQR_Cnt_BlendAF_ClosedLoop,0x059B94,1,1,eHiLo,0,count,1,0,2,0,,0,,
KeFEQR_Cnt_BlendAIR_EnrichDrive,0x059B96,1,1,eHiLo,0,count,1,0,2,0,,0,,
KeFEQR_Cnt_BlendAIR_EnrichPN,0x059B98,1,1,eHiLo,0,count,1,0,2,0,,0,,
KeFEQR_Cnt_BlendDriveability,0x059B9A,1,1,eHiLo,0,count,1,0,2,0,,0,,
KtFEQR_K_AIR_PumpEfficiency,0x059B9E,1,9,eHiLo,0,,0.000030517578,0,18,1,0x05FD8E,1,0x059CEE,0.000
KtFEQR_eqr_OpenLoopIVT_Min,0x059BB2,1,17,eHiLo,0,ratio,0.0009765625,0,34,1,0x05FDA2,1,0x059D02,0.647
KtFEQR_K_CL_Airfuel,0x059BD6,1,33,eHiLo,0,,0.000030517578,0,66,200,,200,,
KtFEQR_K_OL_Flow,0x059C18,33,17,eByte,0,,0.0078125,0,561,200,,200,,
KtFEQR_K_AIR,0x059E49,33,17,eByte,0,,0.0078125,0,561,200,,200,,
KtFEQR_K_AIR_AirflowMult,0x05A07E,33,17,eHiLo,0,,0.000030517578,0,1122,19,,19,,
KtFEQR_K_FITT_Enrichment,0x05A4E4,33,9,eHiLo,0,,0.000030517578,0,594,0,,1,0x05A634,0.500
KtFEQR_eqr_IVT_OL_SinglePN_E0,0x05A758,17,33,eHiLo,0,,0.000244140625,0,1122,0,,0,,
KtFEQR_eqr_IVT_OL_DualDrive_E0,0x05ABBA,17,33,eHiLo,0,,0.000244140625,0,1122,0,,0,,
KtFEQR_Cf_OL_GreenEngEnrichment,0x05B01E,1,33,eHiLo,0,ratio,0.000030517578,0,66,0,,1,0x05B16E,0.000
KaFEQR_K_AIR_CylEnrich[x],0x05B060,1,8,eHiLo,0,ratio,0.000030517578,0,16,200,,200,,
KtFEQR_K_AIR_Enrich,0x05B074,33,17,eHiLo,0,,0.000061035156,0,1122,1,0x061264,1,0x05B1C4,0.634
KeFEQR_K_AIR_Minimum,0x05B4D6,1,1,eHiLo,0,,0.000030517578,0,2,0,,0,,
KtFEQR_eqr_IVT_OL_SinglePN_E100,0x05B55C,17,33,eHiLo,0,,0.000244140625,0,1122,0,,0,,
KtFEQR_eqr_IVT_OL_DualDriveE100,0x05B9BE,17,33,eHiLo,0,,0.000244140625,0,1122,0,,0,,
KeFEQR_t_EngRunEnblMaxAPC,0x05BE44,1,1,eHiLo,0,s,0.00625,0,2,0,,0,,
KtFEQR_K_LimFactForMaxAPC,0x05BE46,9,9,eByte,0,,0.0078125,0,81,200,,200,,
KeFEQR_n_PE_EngSpdLoHys,0x05BE98,1,1,eHiLo,0,rpm,0.125,0,2,0,,0,,
KeFEQR_n_PE_EngSpdThrsh,0x05BE9A,1,1,eHiLo,0,rpm,0.125,0,2,0,,0,,
